event_id,ts_sensor,ts_fog_send,ts_fog_res,ts_cloud,lat_fog,lat_cloud,lat_e2e
896f25c4-1785-447a-a5bb-aec6ee6984aa,1767027205723,1767027205827,1767027205909,1767027209121,82,3212,3398
ef67d22b-d25a-4371-8247-bf88a43a9e3c,1767027207733,1767027207837,1767027207925,1767027210243,88,2318,2510
d449e74c-d980-405d-9b85-a63feabd461a,1767027209740,1767027209845,1767027209930,1767027212168,85,2238,2428
037cafe3-dc1d-4c1c-af94-b78409e94ffd,1767027211770,1767027211874,1767027211950,1767027214187,76,2237,2417
60550e5f-9b7b-4a0a-afd5-f4408f46e107,1767027213775,1767027213880,1767027213948,1767027216244,68,2296,2469
a70cb389-4462-481e-8eda-e1faed3ad5a1,1767027215774,1767027215878,1767027215946,1767027218175,68,2229,2401
90586a66-a7cd-451b-bfa0-2ee0a165d505,1767027217784,1767027217888,1767027217971,1767027220246,83,2275,2462
0e387ad0-1d0e-4d78-b113-059becf9c7c2,1767027219798,1767027219906,1767027219979,1767027222229,73,2250,2431
feea4ae0-3dce-4def-a91a-3d1b7527b323,1767027221813,1767027221919,1767027221986,1767027224227,67,2241,2414
78eddbe6-aba7-401c-8a41-cc77ead0b2ec,1767027223845,1767027223950,1767027224020,1767027226209,70,2189,2364
ba488079-cbe3-4451-ad34-2a46a4222d1e,1767027225856,1767027225961,1767027226024,1767027228184,63,2160,2328
afcd2775-1043-4169-bd43-a40f1514bba2,1767027227871,1767027227975,1767027228074,1767027230354,99,2280,2483
9c56b35f-4725-453b-8e6b-ef4aabcf33fc,1767027229870,1767027229974,1767027230063,1767027232250,89,2187,2380
f8a7ba36-6819-423d-9539-952638a90acb,1767027231873,1767027231978,1767027232069,1767027234206,91,2137,2333
f72c34b6-dae0-46f2-928c-2cad759e21cb,1767027233887,1767027233992,1767027234096,1767027236365,104,2269,2478
9914b682-99e0-40fb-b874-c163a506b3ab,1767027235908,1767027236014,1767027236085,1767027238242,71,2157,2334
0cc5abb1-751a-4159-8354-1c0d456ab1b9,1767027237924,1767027238029,1767027238113,1767027240449,84,2336,2525
cd0f3e9e-93bd-4c50-b2bb-24ed1c5221d0,1767027239957,1767027240062,1767027240153,1767027242704,91,2551,2747
0f0b9fec-4038-42bb-8c45-0cdcdbfcade3,1767027241980,1767027242087,1767027242178,1767027244519,91,2341,2539
48a18b27-a545-4a20-b2ac-1f59526374ae,1767027243982,1767027244090,1767027244171,1767027246723,81,2552,2741
71cdf474-6cf9-4414-be40-44c98cdb7e1f,1767027245999,1767027246104,1767027246185,1767027248483,81,2298,2484
cdc30594-c211-4fcb-9131-31d752bdb119,1767027248012,1767027248116,1767027248181,1767027250485,65,2304,2473
e8d3d151-e561-47ce-9041-31da709b2e18,1767027250019,1767027250124,1767027250218,1767027252784,94,2566,2765
a5cf98c0-c4d9-4229-aad2-af1c45508d48,1767027252027,1767027252131,1767027252213,1767027254543,82,2330,2516
5ef26c0d-d037-4310-a9c2-35a2a178e1d1,1767027254027,1767027254132,1767027254212,1767027256743,80,2531,2716
0c7eb318-9f87-430d-a866-70ef08e8bf4d,1767027256025,1767027256130,1767027256217,1767027258763,87,2546,2738
